node    size    children
0       57        10 11 12 13 14 15 16 17 18
1       19        10
2       69        11
3       87        12
4       87        13
5       89        14
6       46        15
7       34        16
8       77        17
9       82        18
10       78        19 20 21 22 23 24 25 26
11       7        19
12       36        20
13       1        21
14       50        22
15       11        23
16       53        24
17       21        25
18       90        26
19       82        27 28 29 30 31 32 33
20       95        27
21       75        28
22       4        29
23       17        30
24       91        31
25       24        32
26       3        33
27       89        34 35 36 37 38 39
28       28        34
29       63        35
30       1        36
31       61        37
32       43        38
33       21        39
34       85        40 41 42 43 44
35       85        40
36       52        41
37       94        42
38       6        43
39       76        44
40       30        45 46 47 48
41       15        45
42       43        46
43       5        47
44       72        48
45       67        49 50 51
46       79        49
47       64        50
48       75        51
49       51        52 53
50       31        52
51       87        53
52       42        54
53       18        54
54       51        
