node    size    children
0       30        8 9 10 11 12 13 14
1       85        8
2       98        9
3       54        10
4       60        11
5       29        12
6       89        13
7       51        14
8       95        15 16 17 18 19 20
9       92        15
10       23        16
11       77        17
12       3        18
13       71        19
14       74        20
15       40        21 22 23 24 25
16       21        21
17       42        22
18       56        23
19       5        24
20       82        25
21       47        26 27 28 29
22       10        26
23       77        27
24       57        28
25       87        29
26       66        30 31 32
27       63        30
28       17        31
29       17        32
30       21        33 34
31       15        33
32       24        34
33       29        35
34       13        35
35       71        
