node    size    children
  1    8192    11 12 17 
  2    9216    12 21 
  3    6144    9 14 15 20 22 
  4    6144    19 
  5    8192    14 15 17 
  6    10240    11 14 19 22 
  7    9216    22 
  8    7168    10 12 13 16 
  9    7168    16 29 
  10    3072    27 28 30 
  11    6144    26 
  12    5120    19 22 
  13    9216    16 19 20 21 25 
  14    4096    18 
  15    2048    17 30 
  16    7168    34 37 
  17    10240    33 
  18    3072    23 24 29 31 34 
  19    8192    28 35 37 
  20    2048    28 30 31 34 37 
  21    9216    26 31 
  22    10240    26 27 29 32 38 
  23    3072    35 37 40 
  24    7168    38 
  25    9216    34 44 
  26    9216    41 43 
  27    10240    35 38 40 
  28    10240    42 45 
  29    7168    32 36 38 42 
  30    9216    
  31    2048    40 41 
  32    9216    41 51 52 
  33    4096    39 40 48 
  34    7168    39 
  35    9216    41 
  36    4096    39 42 46 
  37    4096    42 49 51 
  38    7168    39 47 49 51 
  39    4096    54 55 
  40    5120    49 50 58 
  41    10240    48 52 
  42    10240    54 
  43    2048    48 53 60 
  44    5120    51 52 53 60 
  45    6144    59 
  46    9216    57 59 61 62 
  47    8192    56 61 65 
  48    4096    59 60 68 
  49    5120    53 55 65 
  50    4096    55 65 67 
  51    9216    62 63 
  52    8192    58 67 
  53    7168    61 63 70 71 
  54    9216    66 70 70 
  55    7168    63 66 73 
  56    5120    62 71 72 
  57    3072    65 69 71 72 74 
  58    9216    71 
  59    9216    66 74 
  60    2048    64 66 67 76 
  61    8192    72 75 
  62    5120    70 
  63    10240    
  64    5120    72 
  65    9216    76 
  66    5120    69 
  67    2048    73 80 
  68    2048    69 75 
  69    7168    80 
  70    3072    77 
  71    3072    77 80 
  72    9216    
  73    6144    78 
  74    10240    
  75    2048    77 
  76    6144    78 79 
  77    6144    
  78    7168    
  79    2048    
  80    5120    

