node    size    children
0       51        8 9 10 11 12 13 14
1       32        8
2       53        9
3       94        10
4       67        11
5       99        12
6       20        13
7       2        14
8       71        15 16 17 18 19 20
9       19        15
10       31        16
11       60        17
12       64        18
13       10        19
14       80        20
15       28        21 22 23 24 25
16       11        21
17       87        22
18       4        23
19       76        24
20       33        25
21       55        26 27 28 29
22       31        26
23       64        27
24       7        28
25       69        29
26       53        30 31 32
27       23        30
28       69        31
29       29        32
30       24        33 34
31       72        33
32       30        34
33       97        35
34       97        35
35       34        
