node    size    children
0       12        10 11 12 13 14 15 16 17 18
1       2        10
2       15        11
3       49        12
4       81        13
5       98        14
6       54        15
7       85        16
8       99        17
9       32        18
10       98        19 20 21 22 23 24 25 26
11       22        19
12       15        20
13       5        21
14       4        22
15       68        23
16       58        24
17       39        25
18       59        26
19       19        27 28 29 30 31 32 33
20       32        27
21       12        28
22       41        29
23       56        30
24       43        31
25       40        32
26       53        33
27       44        34 35 36 37 38 39
28       7        34
29       96        35
30       89        36
31       65        37
32       13        38
33       84        39
34       62        40 41 42 43 44
35       83        40
36       4        41
37       43        42
38       12        43
39       52        44
40       24        45 46 47 48
41       75        45
42       95        46
43       62        47
44       22        48
45       86        49 50 51
46       74        49
47       45        50
48       17        51
49       87        52 53
50       42        52
51       4        53
52       87        54
53       53        54
54       14        
